'bout	ˈba͡ʊt
stratified	ˈstɹætəˌfa͡ɪd
stratify	ˈstɹætəˌfa͡ɪ
stratigraphic	ˌstɹætəˈɡɹæfɪk
stratman	ˈstɹætmən
stratmann	ˈstɹætmən
stratocaster	ˈstɹætoʊˌkæstɚ
stratoflex	ˈstɹætoʊˌflɛks
stratosphere	ˈstɹætəˌsfɪɹ
stratospheric	ˌstɹætəˈsfɪɹɪk
stratton	ˈstɹætən
stratum	ˈstɹætəm
stratus	ˈstɹætəs
stratus's	ˈstɹætəsɪz
straub	ˈstɹa͡ʊb
straube	ˈstɹa͡ʊb
strauch	ˈstɹa͡ʊk
straughan	ˈstɹɔːən
straughn	ˈstɹɔːn
straughter	ˈstɹɔːtɚ
straum	ˈstɹa͡ʊm
straum(2)	ˈstɹɑːm
straus	ˈstɹa͡ʊs
strausbaugh	ˈstɹa͡ʊsba͡ʊ
strause	ˈstɹa͡ʊs
strauser	ˈstɹa͡ʊsɚ
strauss	ˈstɹa͡ʊs
strauss's	ˈstɹa͡ʊsɪz
strausser	ˈstɹa͡ʊsɚ
stravinsky	stɹəˈvɪnskiː
stravinsky's	stɹəˈvɪnskiːz
straw	ˈstɹɔː
strawberries	ˈstɹɔːˌbɛɹiːz
strawberry	ˈstɹɔːˌbɛɹiː
strawbridge	ˈstɹɔːˌbɹɪdʒ
strawder	ˈstɹɔːdɚ
strawderman	ˈstɹɔːdɚmən
strawn	ˈstɹɔːn
straws	ˈstɹɔːz
strawser	ˈstɹɔːzɚ
stray	ˈstɹeɪ
strayed	ˈstɹeɪd
strayer	ˈstɹeɪɚ
strayhorn	ˈstɹeɪhɚn
straying	ˈstɹeɪɪŋ
strays	ˈstɹeɪz
streak	ˈstɹiːk
streaked	ˈstɹiːkt
streaker	ˈstɹiːkɚ
streaking	ˈstɹiːkɪŋ
streaks	ˈstɹiːks
stream	ˈstɹiːm
streamed	ˈstɹiːmd
streamer	ˈstɹiːmɚ
streamers	ˈstɹiːmɚz
streaming	ˈstɹiːmɪŋ
streamline	ˈstɹiːmˌla͡ɪn
streamlined	ˈstɹiːmˌla͡ɪnd
streamlining	ˈstɹiːmˌla͡ɪnɪŋ
streams	ˈstɹiːmz
streater	ˈstɹiːtɚ
streb	ˈstɹɛb
strebe	ˈstɹiːb
strebeck	ˈstɹiːbɛk
strebel	ˈstɹɛbəl
streck	ˈstɹɛk
strecker	ˈstɹɛkɚ
streed	ˈstɹiːd
streep	ˈstɹiːp
streeper	ˈstɹiːpɚ
street	ˈstɹiːt
street's	ˈstɹiːts
streetcar	ˈstɹiːtˌkɑːɹ
streeter	ˈstɹiːtɚ
streeters	ˈstɹiːtɚz
streetman	ˈstɹiːtmən
streets	ˈstɹiːts
streett	ˈstɹiːt
streetwise	ˈstɹiːˌtwa͡ɪz
streety	ˈstɹiːtiː
streff	ˈstɹɛf
strege	ˈstɹiːdʒ
strehl	ˈstɹɛl
strehle	ˈstɹɛl
strehlow	ˈstɹɛloʊ
streib	ˈstɹa͡ɪb
streiber	ˈstɹa͡ɪbɚ
streich	ˈstɹa͡ɪk
streicher	ˈstɹa͡ɪkɚ
streiff	ˈstɹa͡ɪf
streight	ˈstɹeɪt
streiker	ˈstɹa͡ɪkɚ
streisand	ˈstɹa͡ɪzənd
streisand(2)	ˈstɹa͡ɪˌsænd
streisand's	ˈstɹa͡ɪzəndz
streisand's(2)	ˈstɹa͡ɪˌsændz
streit	ˈstɹa͡ɪt
streitmatter	ˈstɹa͡ɪtmətɚ
strelow	ˈstɹɛloʊ
streng	ˈstɹɛŋ
strenger	ˈstɹɛŋɡɚ
strength	ˈstɹɛŋkθ
strength(2)	ˈstɹɛŋθ
strengthen	ˈstɹɛŋθən
strengthened	ˈstɹɛŋθənd
strengthening	ˈstɹɛŋθənɪŋ
strengthens	ˈstɹɛŋθənz
strengths	ˈstɹɛŋkθs
strengths(2)	ˈstɹɛŋθs
strenio	ˈstɹiːniːoʊ
strenuous	ˈstɹɛnjuːəs
strenuously	ˈstɹɛnjuːəsliː
strep	ˈstɹɛp
streps	ˈstɹɛps
streptococcus	ˌstɹɛptəˈkɔːkəs
streptokinase	ˌstɹɛptəˈka͡ɪˌneɪs
streptokinase(2)	ˌstɹɛptoʊˈka͡ɪˌneɪz
stress	ˈstɹɛs
stressed	ˈstɹɛst
stresses	ˈstɹɛsəz
stresses(2)	ˈstɹɛsɪz
stressful	ˈstɹɛsfəl
stressing	ˈstɹɛsɪŋ
stressor	ˈstɹɛsɚ
stressors	ˈstɹɛsɚz
stretch	ˈstɹɛtʃ
stretched	ˈstɹɛtʃt
stretcher	ˈstɹɛtʃɚ
stretcher-bearer	ˈstɹɛtʃɚˈbɛɹɚ
stretcher-bearers	ˈstɹɛtʃɚˈbɛɹɚz
stretchers	ˈstɹɛtʃɚz
stretches	ˈstɹɛtʃəz
stretches(2)	ˈstɹɛtʃɪz
stretching	ˈstɹɛtʃɪŋ
stretto	ˈstɹɛˌtoʊ
strevig	ˈstɹɛvɪɡ
strew	ˈstɹuː
strewn	ˈstɹuːn
strey	ˈstɹeɪ
striar	ˈstɹa͡ɪɹ
stribling	ˈstɜːəbəlɪŋ
stribling(2)	ˈstɹɪblɪŋ
strick	ˈstɹɪk
stricken	ˈstɹɪkən
stricker	ˈstɹɪkɚ
strickland	ˈstɹɪklənd
stricklen	ˈstɹɪkələn
strickler	ˈstɹɪklɚ
stricklin	ˈstɹɪklɪn
strickling	ˈstɹɪklɪŋ
strict	ˈstɹɪkt
stricter	ˈstɹɪktɚ
strictest	ˈstɹɪktəst
strictly	ˈstɹɪktliː
stricture	ˈstɹɪktʃɚ
strictures	ˈstɹɪktʃɚz
stride	ˈstɹa͡ɪd
stridency	ˈstɹa͡ɪdənsiː
strident	ˈstɹa͡ɪdənt
stridently	ˈstɹa͡ɪdəntliː
strider	ˈstɹa͡ɪdɚ
strides	ˈstɹa͡ɪdz
striding	ˈstɹa͡ɪdɪŋ
strieber	ˈstɹa͡ɪbɚ
striegel	ˈstɹiːɡəl
strieker	ˈstɹiːkɚ
strieker's	ˈstɹiːkɚz
strieter	ˈstɹiːtɚ
strife	ˈstɹa͡ɪf
strifes	ˈstɹa͡ɪfs
strike	ˈstɹa͡ɪk
strike's	ˈstɹa͡ɪks
strikebreaker	ˈstɹa͡ɪkˌbɹeɪkɚ
strikebreakers	ˈstɹa͡ɪkˌbɹeɪkɚz
strikeout	ˈstɹa͡ɪˌka͡ʊt
strikeouts	ˈstɹa͡ɪˌka͡ʊts
striker	ˈstɹa͡ɪkɚ
striker's	ˈstɹa͡ɪkɚz
strikers	ˈstɹa͡ɪkɚz
strikers'	ˈstɹa͡ɪkɚz
strikes	ˈstɹa͡ɪks
strikes'	ˈstɹa͡ɪks
striking	ˈstɹa͡ɪkɪŋ
strikingly	ˈstɹa͡ɪkɪŋliː
strimple	ˈstɹɪmpəl
strinden	ˈstɹɪndən
strine	ˈstɹa͡ɪn
string	ˈstɹɪŋ
stringed	ˈstɹɪŋd
stringency	ˈstɹɪndʒənsiː
stringent	ˈstɹɪndʒənt
stringently	ˈstɹɪndʒəntliː
stringer	ˈstɹɪŋɚ
stringers	ˈstɹɪŋɚz
stringfellow	ˈstɹɪŋˌfɛloʊ
stringfield	ˈstɹɪŋˌfiːld
stringham	ˈstɹɪŋˌhæm
stringing	ˈstɹɪŋɪŋ
strings	ˈstɹɪŋz
stringy	ˈstɹɪŋiː
strip	ˈstɹɪp
strip's	ˈstɹɪps
stripe	ˈstɹa͡ɪp
striped	ˈstɹa͡ɪpt
striper	ˈstɹa͡ɪpɚ
stripers	ˈstɹa͡ɪpɚz
stripes	ˈstɹa͡ɪps
striplin	ˈstɹɪplɪn
stripling	ˈstɹɪplɪŋ
stripped	ˈstɹɪpt
stripper	ˈstɹɪpɚ
strippers	ˈstɹɪpɚz
stripping	ˈstɹɪpɪŋ
strips	ˈstɹɪps
striptease	ˈstɹɪpˌtiːz
strite	ˈstɹa͡ɪt
strittmatter	ˈstɹɪtmətɚ
strive	ˈstɹa͡ɪv
striven	ˈstɹɪvən
strives	ˈstɹa͡ɪvz
striving	ˈstɹa͡ɪvɪŋ
strivings	ˈstɹa͡ɪvɪŋz
strnad	ˈstɜːnæd
strobe	ˈstɹoʊb
strobel	ˈstɹoʊbəl
strobel's	ˈstɹoʊbəlz
strober	ˈstɹoʊbɚ
strobl	ˈstɹɑːbəl
stroble	ˈstɹoʊbəl
strobridge	ˈstɹɑːbɹɪdʒ
strock	ˈstɹɑːk
strode	ˈstɹoʊd
stroder	ˈstɹoʊdɚ
stroebel	ˈstɹoʊbəl
stroessner	ˈstɹoʊsnɚ
stroganoff	ˈstɹoʊɡəˌnɔːf
stroh	ˈstɹoʊ
strohecker	ˈstɹoʊɪkɚ
strohl	ˈstɹoʊl
strohm	ˈstɹoʊm
strohmaier	ˈstɹoʊma͡ɪɚ
strohman	ˈstɹoʊmən
strohmeier	ˈstɹoʊma͡ɪɚ
strohmeyer	ˈstɹoʊma͡ɪɚ
stroik	ˈstɹɔɪk
strojny	ˈstɹoʊjniː
stroke	ˈstɹoʊk
stroked	ˈstɹoʊkt
strokes	ˈstɹoʊks
stroking	ˈstɹoʊkɪŋ
strole	ˈstɹoʊl
stroll	ˈstɹoʊl
strolled	ˈstɹoʊld
stroller	ˈstɹoʊlɚ
strollers	ˈstɹoʊlɚz
strolling	ˈstɹoʊlɪŋ
strollo	ˈstɹɑːloʊ
strolls	ˈstɹoʊlz
strom	ˈstɹɑːm
stroma	ˈstɹoʊmə
stromain	ˈstɹɑːma͡ɪn
stroman	ˈstɹoʊmən
strombeck	ˈstɹɑːmˌbɛk
stromberg	ˈstɹɑːmbɚɡ
stromboli	ˌstɹɑːmˈboʊliː
stromboli's	ˌstɹɑːmˈboʊliːz
strome	ˈstɹoʊm
stromer	ˈstɹoʊmɚ
stromgren	ˈstɹɑːmɡɹɛn
stromme	ˈstɹɑːm
strommen	ˈstɹɑːmən
stromquist	ˈstɹɑːmˌkwɪst
stronach	ˈstɹɑːnək
strong	ˈstɹɔːŋ
stronger	ˈstɹɔːŋɚ
stronger(2)	ˈstɹɔːŋɡɚ
strongest	ˈstɹɔːŋɡəst
stronghold	ˈstɹɔːŋˌhoʊld
strongholds	ˈstɹɔːŋˌhoʊldz
strongly	ˈstɹɔːŋliː
strongman	ˈstɹɔːŋˌmæn
strontium	ˈstɹɑːntiːəm
stroock	ˈstɹʊk
stroop	ˈstɹuːp
stroope	ˈstɹuːp
stroot	ˈstɹuːt
strope	ˈstɹoʊp
stroschein	ˈstɹɔːʃa͡ɪn
strosnider	ˈstɹɑːsna͡ɪdɚ
strossen	ˈstɹɔːsɛn
strossen(2)	ˈstɹɔːsɪn
strother	ˈstɹɑːðɚ
strothers	ˈstɹʌðɚz
strothman	ˈstɹɑːθmən
stroud	ˈstɹa͡ʊd
strough	ˈstɹa͡ʊ
stroup	ˈstɹuːp
stroupe	ˈstɹuːp
strouse	ˈstɹa͡ʊs
strout	ˈstɹa͡ʊt
strouth	ˈstɹa͡ʊθ
strove	ˈstɹoʊv
strow	ˈstɹoʊ
strozier	ˈstɹoʊziːɚ
strub	ˈstɹʌb
strubbe	ˈstɹʌb
strube	ˈstɹuːb
strubel	ˈstɹuːbəl
struble	ˈstɹuːbəl
struchen	ˈstɹʌkən
struck	ˈstɹʌk
struckman	ˈstɹʌkmən
structural	ˈstɹʌktʃɚəl
structurally	ˈstɹʌktʃɚəliː
structure	ˈstɹʌktʃɚ
structure's	ˈstɹʌktʃɚz
structured	ˈstɹʌktʃɚd
structures	ˈstɹʌktʃɚz
structuring	ˈstɹʌktʃɚɪŋ
strudel	ˈstɹuːdəl
struebing	ˈstɹʊbɪŋ
struggle	ˈstɹʌɡəl
struggle's	ˈstɹʌɡəlz
struggled	ˈstɹʌɡəld
struggles	ˈstɹʌɡəlz
struggling	ˈstɹʌɡəlɪŋ
struggling(2)	ˈstɹʌɡlɪŋ
strum	ˈstɹʌm
strumming	ˈstɹʌmɪŋ
strums	ˈstɹʌmz
strung	ˈstɹʌŋ
strunk	ˈstɹʌŋk
strunk's	ˈstɹʌŋks
strupp	ˈstɹʌp
struss	ˈstɹʌs
strut	ˈstɹʌt
struthers	ˈstɹʌðɚz
struts	ˈstɹʌts
strutting	ˈstɹʌtɪŋ
strutton	ˈstɹʌtən
strutz	ˈstɹʌts
struve	ˈstɹuːv
strycharz	ˈstɹɪhɚz
strychnine	ˈstɹɪkˌna͡ɪn
stryker	ˈstɹa͡ɪkɚ
strzelecki	ˌstɹɛzɪˈlɛtskiː
strzelecki(2)	ˌstɜːzɪˈlɛtskiː
stu	ˈstuː
stuard	ˈstuːɚd
stuart	ˈstuːɚt
stuart(2)	ˈstjuːɚt
stuart(3)	ˈstɔːɹt
stuart's	ˈstuːɚts
stuart's(2)	ˈstjuːɚts
stuart's(3)	ˈstɔːɹts
stuarts	ˈstuːɚts
stub	ˈstʌb
stubbe	ˈstʌb
stubbed	ˈstʌbd
stubbins	ˈstʌbɪnz
stubble	ˈstʌbəl
stubblefield	ˈstʌbəlˌfiːld
stubborn	ˈstʌbɚn
stubbornly	ˈstʌbɚnliː
stubbornness	ˈstʌbɚnnəs
stubbornness(2)	ˈstʌbɚnəs
stubbs	ˈstʌbz
stubby	ˈstʌbiː
stuber	ˈstuːbɚ
stubs	ˈstʌbz
stucco	ˈstʌkoʊ
stuccoed	ˈstʌkoʊd
stuchell	ˈstʌkəl
stuck	ˈstʌk
stucke	ˈstʌk
stucker	ˈstʌkɚ
stuckert	ˈstʌkɚt
stuckey	ˈstʌkiː
stucki	ˈstʌkiː
stuckman	ˈstʌkmən
stucky	ˈstʌkiː
stud	ˈstʌd
studdard	ˈstʌdɚd
studded	ˈstʌdɪd
studds	ˈstʌdz
stude	ˈstuːd
studebaker	ˈstuːdəˌbeɪkɚ
studeman	ˈstuːdmən
studeman(2)	ˈstuːdəmən
student	ˈstuːdənt
student's	ˈstuːdənts
students	ˈstuːdənts
students'	ˈstuːdənts
studer	ˈstuːdɚ
studied	ˈstʌdiːd
studies	ˈstʌdiːz
studio	ˈstuːdiːˌoʊ
studio's	ˈstuːdiːˌoʊz
studios	ˈstuːdiːˌoʊz
studios'	ˈstuːdiːˌoʊz
studious	ˈstuːdiːəs
studiously	ˈstuːdiːəsliː
studley	ˈstʌdliː
studnicka	stədˈnɪskə
studs	ˈstʌdz
studstill	ˈstʌdˌstɪl
studt	ˈstʌdt
studtgard	ˈstʌtˌɡɑːɹd
study	ˈstʌdiː
study's	ˈstʌdiːz
studying	ˈstʌdiːɪŋ
studzinski	stəˈdʒɪnskiː
stuebe	ˈstuːb
stueber	ˈstʊbɚ
stueck	ˈstuːk
stueve	ˈstuːv
stuewe	ˈstuː
stuff	ˈstʌf
stuff's	ˈstʌfs
stuff-it	ˈstʌfɪt
stuff-it's	ˈstʌfɪts
stuffed	ˈstʌft
stuffer	ˈstʌfɚ
stuffing	ˈstʌfɪŋ
stufflebeam	ˈstʌfəlˌbiːm
stufflebean	ˈstʌfəlˌbiːn
stuffs	ˈstʌfs
stuffy	ˈstʌfiː
stuhler	ˈstuːlɚ
stuhr	ˈstɜː
stuhr(2)	ˈstʊɹ
stuka	ˈstuːkə
stukel	ˈstuːkəl
stukes	ˈstuːks
stukey	ˈstʌkiː
stull	ˈstʌl
stuller	ˈstʌlɚ
stultify	ˈstʌltəˌfa͡ɪ
stultifying	ˈstʌltəˌfa͡ɪɪŋ
stults	ˈstʌlts
stultz	ˈstʌlts
stum	ˈstʌm
stumbaugh	ˈstʌmˌbɔː
stumble	ˈstʌmbəl
stumbled	ˈstʌmbəld
stumbles	ˈstʌmbəlz
stumbling	ˈstʌmbəlɪŋ
stumbling(2)	ˈstʌmblɪŋ
stumbo	ˈstʌmˌboʊ
stumm	ˈstʌm
stump	ˈstʌmp
stumpage	ˈstʌmpɪdʒ
stumpe	ˈstʌmp
stumped	ˈstʌmpt
stumper	ˈstʌmpɚ
stumpf	ˈstʌmpf
stumpff	ˈstʌmpf
stumph	ˈstʌmf
stumping	ˈstʌmpɪŋ
stumpo	ˈstʌmˌpoʊ
stumpp	ˈstʌmp
stumps	ˈstʌmps
stun	ˈstʌn
stung	ˈstʌŋ
stunk	ˈstʌŋk
stunned	ˈstʌnd
stunner	ˈstʌnɚ
stunning	ˈstʌnɪŋ
stunningly	ˈstʌnɪŋliː
stuns	ˈstʌnz
stunt	ˈstʌnt
stunted	ˈstʌntɪd
stunts	ˈstʌnts
stuntz	ˈstʌnts
stupa	ˈstuːˌpɑː
stupak	ˈstuːpək
stupar	ˈstuːpɚ
stupay	stuːˈpeɪ
stupendous	stuːˈpɛndəs
stupid	ˈstuːpəd
stupid(2)	ˈstuːpɪd
stupider	ˈstuːpɪdɚ
stupidest	ˈstuːpɪdəst
stupidity	stuːˈpɪdɪˌtiː
stupidly	ˈstuːpədliː
stupka	ˈstʌpˌkɑː
stupor	ˈstuːpɚ
stupp	ˈstʌp
stupski	ˈstʌpˌskiː
sturbridge	ˈstɜːˌbɹɪdʒ
sturc	ˈstɜːk
sturdevant	ˈstɜːdɪvənt
sturdhal	ˈstɜːdɑːl
sturdier	ˈstɜːdiːɚ
sturdiness	ˈstɜːdiːnəs
sturdivant	ˈstɜːdɪvənt
sturdy	ˈstɜːdiː
sturgell	ˈstɜːɡəl
sturgeon	ˈstɜːdʒən
sturgeon(2)	ˈstɜːdʒɪn
sturgeons	ˈstɜːdʒənz
sturges	ˈstɜːdʒɪz
sturgess	ˈstɜːɡɪs
sturgill	ˈstɜːɡəl
sturgis	ˈstɜːdʒɪs
sturkie	ˈstɜːkiː
sturm	ˈstɜːm
sturman	ˈstɜːmən
sturmans	ˈstɜːmənz
sturmer	ˈstɜːmɚ
sturn	ˈstɜːn
sturrock	ˈstɔːɹək
sturtevant	ˈstɜːtəvənt
sturtz	ˈstɜːts
sturza	ˈstɜːzə
stutes	ˈstuːts
stutesman	ˈstuːtsmən
stuteville	ˈstuːtˌvɪl
stutheit	ˈstʌθa͡ɪt
stutler	ˈstʌtlɚ
stutner	ˈstʌtnɚ
stutsman	ˈstʌtsmən
stutter	ˈstʌtɚ
stuttering	ˈstʌtɚɪŋ
stutters	ˈstʌtɚz
stuttgart	ˈstʌtɡɚt
stuttgart(2)	ˈstuːtˌɡɑːɹt
stuttgart(3)	ʃˈtuːtˌɡɑːɹt
stutts	ˈstʌts
stutz	ˈstʌts
stutzman	ˈstʌtsmən
stuve	ˈstuːv
stuver	ˈstuːvɚ
stuyvesant	ˈsta͡ɪvəsənt
sty	ˈsta͡ɪ
styer	ˈsta͡ɪɚ
styers	ˈsta͡ɪɚz
stygian	ˈstɪdʒiːən
style	ˈsta͡ɪl
styled	ˈsta͡ɪld
styles	ˈsta͡ɪlz
styling	ˈsta͡ɪlɪŋ
stylish	ˈsta͡ɪlɪʃ
stylishly	ˈsta͡ɪlɪʃliː
stylist	ˈsta͡ɪlɪst
stylistic	sta͡ɪˈlɪstɪk
stylistically	sta͡ɪˈlɪstɪkliː
stylists	ˈsta͡ɪlɪsts
stylites	stɪˈla͡ɪts
stylize	ˈsta͡ɪˌla͡ɪz
stylize(2)	ˈsta͡ɪəˌla͡ɪz
stylized	ˈsta͡ɪˌla͡ɪzd
stylus	ˈsta͡ɪləs
stymie	ˈsta͡ɪmiː
stymied	ˈsta͡ɪmiːd
stymies	ˈsta͡ɪmiːz
styne	ˈsta͡ɪn
styrene	ˈsta͡ɪˌɹiːn
styrofoam	ˈsta͡ɪɹəˌfoʊm
styron	ˈsta͡ɪɹɔːn
stys	ˈstɪs
styx	ˈstɪks
su	ˈsuː
suard	ˈsuːɑːɹd
suard(2)	ˈswɑːɹd
suarez	swɑːˈɹɛz
suasion	ˈsweɪʒən
suata	suːˈɑːtə
suata's	suːˈɑːtəz
suave	ˈswɑːv
suazo	ˈswɑːzoʊ
sub	ˈsʌb
sub's	ˈsʌbz
sub-foreman	səbˈfɔːɹmən
sub-way	ˈsʌbˌweɪ
suba	ˈsuːbə
subacute	ˈsʌbəˈkjuːt
subandrio	səˈbændɹiːoʊ
subaru	ˈsuːbɚuː
subassemblies	ˌsʌbəˈsɛmbliːz
subassembly	ˌsʌbəˈsɛmbliː
subatomic	ˌsʌbəˈtɑːmɪk
subbed	ˈsʌbd
subbing	ˈsʌbɪŋ
subchapter	ˈsʌbˈtʃæptɚ
subcommander	ˈsʌbkəˌmændɚ
subcommander's	ˈsʌbkəˌmændɚz
subcommanders	ˈsʌbkəˌmændɚz
subcommittee	ˈsʌbkəˈmɪtiː
subcommittee's	ˈsʌbkəˈmɪtiːz
subcommittees	ˈsʌbkəˈmɪtiːz
subcompact	səbˈkɑːmpækt
subcompacts	səbˈkɑːmpækts
subconscious	səbˈkɑːnʃəs
subconsciously	səbˈkɑːnʃəsliː
subcontinent	səbˈkɑːntɪnənt
subcontinents	səbˈkɑːntɪnənts
subcontract	səbˈkɑːnˌtɹækt
subcontracted	səbˈkɑːntɹæktɪd
subcontracting	ˌsʌbkənˈtɹæktɪŋ
subcontractor	səbˈkɑːnˌtɹæktɚ
subcontractors	səbˈkɑːntɹæktɚz
subcontracts	səbˈkɑːnˌtɹækts
subculture	ˈsʌbˌkʌltʃɚ
subcultures	ˈsʌbˌkʌltʃɚz
subcutaneous	səbˌkjuːˈteɪniːəs
subdivide	ˌsʌbdəˈva͡ɪd
subdivided	ˌsʌbdɪˈva͡ɪdɪd
subdivision	ˈsʌbdɪˌvɪʒən
subdivisions	ˈsʌbdɪˌvɪʒənz
subdue	səbˈduː
subdued	səbˈduːd
subduing	səbˈduːɪŋ
suber	ˈsuːbɚ
subfamilies	ˈsʌbˌfæməliːz
subfamily	ˈsʌbˌfæməliː
subgroup	ˈsʌbˌɡɹuːp
subgroups	ˈsʌbˌɡɹuːps
subhlok	ˈsʌˌblɑːk
subhuman	ˌsʌbˈhjuːmən
subia	suːˈbiːə
subic	ˈsuːbɪk
subject	səbˈdʒɛkt
subject(2)	ˈsʌbdʒɪkt
subject's	ˈsʌbdʒɪkts
subjected	səbˈdʒɛktɪd
subjecting	səbˈdʒɛktɪŋ
subjective	səbˈdʒɛktɪv
subjectivity	səbdʒɛkˈtɪvɪtiː
subjects	ˈsʌbdʒɪkts
subjects(2)	səbˈdʒɛkts
subjects(3)	səbˈdʒɛks
subjects'	ˈsʌbdʒɛkts
subjects'(2)	ˈsʌbdʒɛks
subjugate	ˈsʌbdʒəˌɡeɪt
subjugated	ˈsʌbdʒəˌɡeɪtɪd
subkingdom	səbˈkɪŋdəm
sublease	ˈsʌˌbliːs
subleasing	səˈbliːsɪŋ
sublet	ˈsʌˌblɛt
sublett	ˈsuːblɪt
sublime	səˈbla͡ɪm
subliminal	səˈblɪmɪnəl
subliminally	səˈblɪmɪnəliː
subluxation	səbləkˈseɪʃən
subluxations	səbləkˈseɪʃənz
submachine	ˌsʌbməˈʃiːn
submarine	ˈsʌbmɚˌiːn
submarine(2)	ˌsʌbmɚˈiːn
submarine's	ˈsʌbmɚˌiːnz
submarine's(2)	səbmɚˈiːnz
submarines	ˈsʌbmɚˌiːnz
submarines(2)	səbmɚˈiːnz
submarines's	ˈsʌbmɚˌiːnzɪz
submerge	səbˈmɜːdʒ
submerged	səbˈmɜːdʒd
submergence	səbˈmɜːdʒəns
submerse	səbˈmɜːs
submersed	səbˈmɜːst
submersible	səbˈmɜːsɪbəl
submersion	səbˈmɜːʒən
subminimum	səbˈmɪnɪməm
submission	səbˈmɪʃən
submissions	səbˈmɪʃənz
submissive	səbˈmɪsɪv
submit	səbˈmɪt
submits	ˌsʌbˈmɪts
submitted	səbˈmɪtɪd
submitting	səbˈmɪtɪŋ
subnotebook	ˈsʌbˈnoʊtˌbʊk
subordinate	səˈbɔːɹdəˌneɪt
subordinate(2)	səˈbɔːɹdənət
subordinated	səˈbɔːɹdəˌneɪtɪd
subordinates	səˈbɔːɹdəˌneɪts
subordinates(2)	səˈbɔːɹdənəts
subordinating	səˈbɔːɹdəˌneɪtɪŋ
subordination	səˌbɔːɹdəˈneɪʃən
subotnick	səˈbɑːtnɪk
subpar	səbˈpɑːɹ
subplot	ˈsʌbplɑːt
subplots	ˈsʌbplɑːts
subpoena	səˈpiːnə
subpoenaed	səˈpiːnəd
subpoenaing	səˈpiːnəɪŋ
subpoenas	səˈpiːnəz
subprincipal	səbˈpɹɪnsəpəl
subprincipals	səbˈpɹɪnsəpəlz
subra	ˈsuːbɹə
subramanian	ˌsuːbɹəˈmɑːniːən
subroto	suːˈbɹoʊtoʊ
subroutine	ˈsʌbɹuːˌtiːn
subs	ˈsʌbz
subs's	ˈsʌbzɪz
subsaharan	ˌsʌbsəˈhɛɹən
subscribe	səbˈskɹa͡ɪb
subscribed	səbˈskɹa͡ɪbd
subscriber	səbˈskɹa͡ɪbɚ
subscriber's	səbˈskɹa͡ɪbɚz
subscribers	səbˈskɹa͡ɪbɚz
subscribers'	səbˈskɹa͡ɪbɚz
subscribes	səbˈskɹa͡ɪbz
subscribing	səbˈskɹa͡ɪbɪŋ
subscription	səbˈskɹɪpʃən
subscriptions	səbˈskɹɪpʃənz
subsection	ˈsʌbsɛkʃən
subsequence	səbˈsiːkwəns
subsequent	ˈsʌbsəkwənt
subsequently	ˈsʌbsəkwəntliː
subservience	səbˈsɜːviːəns
subservient	səbˈsɜːviːənt
subset	ˈsʌbˌsɛt
subsets	ˈsʌbˌsɛts
subside	səbˈsa͡ɪd
subsided	səbˈsa͡ɪdɪd
subsidence	səbˈsa͡ɪdəns
subsides	səbˈsa͡ɪdz
subsidiaries	səbˈsɪdiːˌɛɹiːz
subsidiaries'	səbˈsɪdiːˌɛɹiːz
subsidiary	səbˈsɪdiːˌɛɹiː
subsidiary's	səbˈsɪdiːˌɛɹiːz
subsidies	ˈsʌbsədiːz
subsidies(2)	ˈsʌbsɪdiːz
subsiding	səbˈsa͡ɪdɪŋ
subsidization	ˌsʌbsɪdɪˈzeɪʃən
subsidize	ˈsʌbsɪˌda͡ɪz
subsidized	ˈsʌbsɪˌda͡ɪzd
subsidizes	ˈsʌbsɪˌda͡ɪzɪz
subsidizing	ˈsʌbsɪˌda͡ɪzɪŋ
subsidy	ˈsʌbsɪdiː
subsist	səbˈsɪst
subsistence	səbˈsɪstəns
subsoil	ˈsʌbˌsɔɪl
subspace	ˈsʌbˌspeɪs
subspaces	ˈsʌbˌspeɪsɪs
subspacing	ˈsʌbˌspeɪsɪŋ
substance	ˈsʌbstəns
substances	ˈsʌbstənsəz
substances(2)	ˈsʌbstənsɪz
substandard	səbˈstændɚd
substantial	səbˈstænʃəl
substantially	səbˈstænʃəliː
substantiate	səbˈstæntʃiːˌeɪt
substantiate(2)	səbˈstænʃiːˌeɪt
substantiated	səbˈstænʃiːˌeɪtɪd
substantiated(2)	səbˈstæntʃiːˌeɪtɪd
substantiates	səbˈstæntʃiːˌeɪts
substantiates(2)	səbˈstænʃiːˌeɪts
substantiation	səbˌstæntʃiːˈeɪʃən
substantiation(2)	səbˌstænʃiːˈeɪʃən
substantive	ˈsʌbstəntɪv
substantively	ˈsʌbstəntɪvliː
substation	ˈsʌbˌsteɪʃən
substitute	ˈsʌbstəˌtuːt
substituted	ˈsʌbstəˌtuːtɪd
substitutes	ˈsʌbstəˌtuːts
substituting	ˈsʌbstɪˌtuːtɪŋ
substitution	ˌsʌbstɪˈtuːʃən
substitutions	ˌsʌbstɪˈtjuːʃənz
substrate	ˈsʌbˌstɹeɪt
substrates	ˈsʌbˌstɹeɪts
subsurface	ˈsʌbˌsɜːfəs
subsystem	ˈsʌbˌsɪstəm
subsystems	ˈsʌbˌsɪstəmz
subterfuge	ˈsʌbtɚˌfjuːdʒ
subterranean	səbtɚˈeɪniːən
